Stock Name,Code,Date,Price,Open,High,Low,Volume,Change%
Ayala Corp Pref B,ACPB2,"Jan 08, 2019",499,499,499,499,0.03K,-0.20%
Ayala Corp Pref B,ACPB2,"Jan 07, 2019",500,500,500,500,0.09K,2.25%
Ayala Corp Pref B,ACPB2,"Jan 04, 2019",489,489,489,489,4.40K,0.00%
Ayala Corp Pref B,ACPB2,"Jan 03, 2019",489,475,489,475,0.11K,-0.20%
Ayala Corp Pref B,ACPB2,"Jan 02, 2019",490,495,495,475,7.59K,-1.80%
Ayala Corp Pref B,ACPB2,"Dec 21, 2018",499,499,499,499,0.01K,1.42%
Ayala Corp Pref B,ACPB2,"Dec 19, 2018",492,492,492,492,0.11K,0.41%
Ayala Corp Pref B,ACPB2,"Dec 18, 2018",490,492,492,490,2.89K,-1.80%
Ayala Corp Pref B,ACPB2,"Dec 17, 2018",499,492,499,492,0.12K,1.84%
Ayala Corp Pref B,ACPB2,"Dec 14, 2018",490,490,490,490,0.60K,0.00%
Ayala Corp Pref B,ACPB2,"Dec 12, 2018",490,475,490,475,11.30K,0.00%
Ayala Corp Pref B,ACPB2,"Dec 11, 2018",490,490,490,476,0.56K,0.00%
Ayala Corp Pref B,ACPB2,"Dec 06, 2018",490,490,490,490,0.01K,0.04%
Ayala Corp Pref B,ACPB2,"Dec 05, 2018",489.8,489.8,489.8,489.8,0.01K,0.16%
Ayala Corp Pref B,ACPB2,"Dec 04, 2018",489,490,490,489,4.03K,0.00%
Ayala Corp Pref B,ACPB2,"Nov 29, 2018",489,489,489,489,0.25K,0.00%
Ayala Corp Pref B,ACPB2,"Nov 27, 2018",489,475,489,475,0.05K,0.00%
Ayala Corp Pref B,ACPB2,"Nov 21, 2018",489,451,489,450,2.94K,-0.61%
Ayala Corp Pref B,ACPB2,"Nov 20, 2018",492,488,492,480,14.49K,0.82%
Ayala Corp Pref B,ACPB2,"Nov 19, 2018",488,488,488,488,0.08K,0.21%
Ayala Corp Pref B,ACPB2,"Nov 16, 2018",487,487,487,487,0.02K,0.00%
Ayala Corp Pref B,ACPB2,"Nov 15, 2018",487,488,488,487,0.15K,-0.61%
Ayala Corp Pref B,ACPB2,"Nov 14, 2018",490,488,490,488,2.01K,0.37%
Ayala Corp Pref B,ACPB2,"Nov 13, 2018",488.2,488.2,488.2,488.2,0.83K,0.25%
Ayala Corp Pref B,ACPB2,"Nov 12, 2018",487,487,487,487,0.03K,-0.81%
